,Title,author,rating,num_rating,num_reviews,pages,publish_year,url,series,awards,genre_1,genre_2,genre_3,places
0,Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,"2,883,244 ratings","66,759 reviews",759 pages,Published July 21st 2007 by Arthur A. Levine Books,https://www.arthuralevinebooks.com/harry-potter-and-the-deathly-hallows,Harry Potter #7,"Locus Award Nominee for Best Young Adult Novel (2008), Odyssey Award Nominee (2008), Audie Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008), Teen Read Award Nominee for Best All-Time-Fave (2010) ...more",Fantasy,Young Adult,Fiction,
1,The Hunger Games,Suzanne Collins,4.33,"6,533,809 ratings","173,706 reviews",374 pages,Published September 14th 2008 by Scholastic Press,,The Hunger Games #1,"Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010) ...more",Young Adult,Fiction,Science Fiction,
2,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,"2,506,722 ratings","40,531 reviews",,Published September 16th 2006 by Scholastic Inc. (first published July 16th 2005),Harry Potter #6,Draco Malfoy,,,,,
3,Harry Potter and the Goblet of Fire,J.K. Rowling,4.56,"2,672,283 ratings","47,871 reviews",734 pages,Published September 28th 2002 by Scholastic (first published July 8th 2000),Harry Potter #4,Sirius Black,,,,,
4,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.50,"2,581,093 ratings","43,636 reviews",870 pages,Published September 2004 by Scholastic Inc. (first published June 21st 2003),,Harry Potter #5,"Bram Stoker Award for Works for Young Readers (2003), Anthony Award for Young Adult (2004), Mythopoeic Fantasy Award for Children's Literature (2008), Audie Award for Audiobook of the Year (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004) ...more",,,,
5,The Book Thief,Markus Zusak,4.37,"1,887,478 ratings","114,588 reviews",552 pages,Published March 14th 2006 by Alfred A. Knopf (first published September 1st 2005),,Liesel Meminger,,Historical,Fiction,Young Adult,
6,The Time Traveler's Wife,Audrey Niffenegger,3.98,"1,599,286 ratings","47,612 reviews",500 pages,Published September 23rd 2013 by Zola Books (first published July 5th 2003),,Henry DeTamble,,,,,
7,The Kite Runner,Khaled Hosseini,4.31,"2,483,222 ratings","74,907 reviews",371 pages,Published May 2004 by Riverhead Books (first published May 29th 2003),https://khaledhosseini.com/books/the-kite-runner/,Amir,,Fiction,Historical,Contemporary,
8,The Help,Kathryn Stockett,4.46,"2,217,924 ratings","85,060 reviews",,Published February 10th 2009 by Amy Einhorn Books/G.P. Putnam's Sons,http://www.kathrynstockett.com/stockett-synopsis.htm,Constantine Bates,,,,,
9,A Thousand Splendid Suns,Khaled Hosseini,4.38,"1,179,376 ratings","55,175 reviews",372 pages,Published June 1st 2007 by Riverhead Books (first published May 22nd 2007),,https://khaledhosseini.com/books/a-thousand-splendid-suns/,"British Book Award for Best Read of the Year (2008), Book Sense Book of the Year Award for Adult Fiction (2008), California Book Award for Fiction (Silver) (2007), Exclusive Books Boeke Prize Nominee (2007), Lincoln Award Nominee (2011)",Fiction,Historical,Contemporary,
10,Catching Fire,Suzanne Collins,4.29,"2,587,462 ratings","97,671 reviews",391 pages,Published September 1st 2009 by Scholastic Press,,,,,,,
11,Twilight,Stephenie Meyer,3.60,"5,087,195 ratings","105,670 reviews",,"Published September 6th 2006 by Little, Brown and Company (first published October 5th 2005)",,The Twilight Saga #1,"Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009) ...more",Young Adult,Fantasy,Romance,
12,Water for Elephants,Sara Gruen,4.09,"1,404,581 ratings","59,044 reviews",,Published May 1st 2007 by Algonquin Books (first published May 2006),,Jacob Jankowski,,,,,
13,The Girl with the Dragon Tattoo,Stieg Larsson,4.14,"2,666,863 ratings","69,215 reviews",465 pages,Published September 16th 2008 by Knopf (first published August 2005),Millennium #1,Lisbeth Salander,,Fiction,Mystery,Thriller,
14,Life of Pi,Yann Martel,3.92,"1,366,456 ratings","47,608 reviews",,Published August 29th 2006 by Seal Books (first published September 11th 2001),,Pi Patel,,Fiction,Fantasy,Classics,
15,The Da Vinci Code,Dan Brown,3.86,"1,973,549 ratings","47,655 reviews",,Published March 28th 2006 by Anchor (first published March 18th 2003),http://danbrown.com/the-davinci-code/,Robert Langdon #2,"British Book Award for Book of the Year (2005), Book Sense Book of the Year Award for Adult Fiction (2004), Humo's Gouden Bladwijzer (2004), Zilveren Vingerafdruk (2004), The Flume: New Hampshire Teen Reader's Choice Award (2006) ...more",,,,
